x,y,z,vx,vy,vz,mass
-0.288104,0.304766,0.000000,-7.208687,-6.554984,0.000000,1.000000e-12
-0.287565,0.305671,0.000000,-7.221774,-6.535633,0.000000,1.000000e-12
-0.287026,0.306575,0.000000,-7.234789,-6.516277,0.000000,1.000000e-12
-0.286484,0.307474,0.000000,-7.247704,-6.496984,0.000000,1.000000e-12
-0.285942,0.308374,0.000000,-7.260561,-6.477648,0.000000,1.000000e-12
-0.285398,0.309271,0.000000,-7.273342,-6.458324,0.000000,1.000000e-12
-0.284853,0.310164,0.000000,-7.286031,-6.439050,0.000000,1.000000e-12
-0.284306,0.311059,0.000000,-7.298669,-6.419717,0.000000,1.000000e-12
-0.283758,0.311950,0.000000,-7.311220,-6.400427,0.000000,1.000000e-12
-0.283210,0.312838,0.000000,-7.323693,-6.381150,0.000000,1.000000e-12
-0.282659,0.313725,0.000000,-7.336094,-6.361872,0.000000,1.000000e-12
-0.282107,0.314610,0.000000,-7.348426,-6.342601,0.000000,1.000000e-12
-0.281555,0.315493,0.000000,-7.360674,-6.323348,0.000000,1.000000e-12
-0.281001,0.316373,0.000000,-7.372845,-6.304117,0.000000,1.000000e-12
-0.280445,0.317252,0.000000,-7.384951,-6.284881,0.000000,1.000000e-12
-0.279889,0.318129,0.000000,-7.396985,-6.265640,0.000000,1.000000e-12
-0.279331,0.319004,0.000000,-7.408946,-6.246408,0.000000,1.000000e-12
-0.278772,0.319877,0.000000,-7.420831,-6.227203,0.000000,1.000000e-12
-0.278212,0.320748,0.000000,-7.432642,-6.208008,0.000000,1.000000e-12
-0.277651,0.321617,0.000000,-7.444385,-6.188813,0.000000,1.000000e-12
-0.277088,0.322482,0.000000,-7.456043,-6.169664,0.000000,1.000000e-12
-0.276524,0.323348,0.000000,-7.467645,-6.150484,0.000000,1.000000e-12
-0.275959,0.324211,0.000000,-7.479171,-6.131324,0.000000,1.000000e-12
-0.275393,0.325072,0.000000,-7.490627,-6.112170,0.000000,1.000000e-12
-0.274826,0.325930,0.000000,-7.502000,-6.093061,0.000000,1.000000e-12
-0.274258,0.326786,0.000000,-7.513300,-6.073974,0.000000,1.000000e-12
-0.273688,0.327642,0.000000,-7.524550,-6.054846,0.000000,1.000000e-12
-0.273118,0.328495,0.000000,-7.535718,-6.035752,0.000000,1.000000e-12
-0.272546,0.329346,0.000000,-7.546822,-6.016657,0.000000,1.000000e-12
-0.271973,0.330194,0.000000,-7.557846,-5.997603,0.000000,1.000000e-12
-0.271400,0.331042,0.000000,-7.568810,-5.978535,0.000000,1.000000e-12
-0.270824,0.331887,0.000000,-7.579700,-5.959490,0.000000,1.000000e-12
-0.270248,0.332730,0.000000,-7.590528,-5.940447,0.000000,1.000000e-12
-0.269671,0.333571,0.000000,-7.601274,-5.921444,0.000000,1.000000e-12
-0.269093,0.334410,0.000000,-7.611955,-5.902448,0.000000,1.000000e-12
-0.268514,0.335248,0.000000,-7.622580,-5.883438,0.000000,1.000000e-12
-0.267933,0.336083,0.000000,-7.633130,-5.864450,0.000000,1.000000e-12
-0.267352,0.336916,0.000000,-7.643615,-5.845486,0.000000,1.000000e-12
-0.266770,0.337747,0.000000,-7.654021,-5.826546,0.000000,1.000000e-12
-0.266186,0.338577,0.000000,-7.664364,-5.807612,0.000000,1.000000e-12
-0.265602,0.339405,0.000000,-7.674651,-5.788670,0.000000,1.000000e-12
-0.265016,0.340230,0.000000,-7.684866,-5.769766,0.000000,1.000000e-12
-0.264429,0.341053,0.000000,-7.695001,-5.750885,0.000000,1.000000e-12
-0.263842,0.341875,0.000000,-7.705089,-5.732002,0.000000,1.000000e-12
-0.263254,0.342695,0.000000,-7.715109,-5.713125,0.000000,1.000000e-12
-0.262664,0.343513,0.000000,-7.725052,-5.694283,0.000000,1.000000e-12
-0.262073,0.344329,0.000000,-7.734941,-5.675436,0.000000,1.000000e-12
-0.261482,0.345144,0.000000,-7.744757,-5.656610,0.000000,1.000000e-12
-0.260890,0.345955,0.000000,-7.754510,-5.637817,0.000000,1.000000e-12
-0.260296,0.346766,0.000000,-7.764204,-5.619016,0.000000,1.000000e-12
-0.259702,0.347574,0.000000,-7.773827,-5.600246,0.000000,1.000000e-12
-0.259107,0.348380,0.000000,-7.783388,-5.581490,0.000000,1.000000e-12
-0.258511,0.349185,0.000000,-7.792884,-5.562737,0.000000,1.000000e-12
-0.257913,0.349988,0.000000,-7.802323,-5.544006,0.000000,1.000000e-12
-0.257315,0.350788,0.000000,-7.811691,-5.525296,0.000000,1.000000e-12
-0.256717,0.351587,0.000000,-7.820999,-5.506603,0.000000,1.000000e-12
-0.256117,0.352384,0.000000,-7.830241,-5.487929,0.000000,1.000000e-12
-0.255516,0.353178,0.000000,-7.839420,-5.469271,0.000000,1.000000e-12
-0.254914,0.353972,0.000000,-7.848543,-5.450617,0.000000,1.000000e-12
-0.254312,0.354763,0.000000,-7.857602,-5.431990,0.000000,1.000000e-12
-0.253708,0.355553,0.000000,-7.866598,-5.413373,0.000000,1.000000e-12
-0.253104,0.356341,0.000000,-7.875532,-5.394767,0.000000,1.000000e-12
-0.252499,0.357126,0.000000,-7.884406,-5.376190,0.000000,1.000000e-12
-0.251893,0.357910,0.000000,-7.893217,-5.357622,0.000000,1.000000e-12
-0.251286,0.358691,0.000000,-7.901964,-5.339097,0.000000,1.000000e-12
-0.250678,0.359472,0.000000,-7.910657,-5.320560,0.000000,1.000000e-12
-0.250070,0.360250,0.000000,-7.919285,-5.302052,0.000000,1.000000e-12
-0.249461,0.361026,0.000000,-7.927853,-5.283563,0.000000,1.000000e-12
-0.248850,0.361801,0.000000,-7.936367,-5.265083,0.000000,1.000000e-12
-0.248240,0.362574,0.000000,-7.944818,-5.246615,0.000000,1.000000e-12
-0.247628,0.363344,0.000000,-7.953203,-5.228194,0.000000,1.000000e-12
-0.247015,0.364113,0.000000,-7.961532,-5.209777,0.000000,1.000000e-12
-0.246402,0.364880,0.000000,-7.969810,-5.191363,0.000000,1.000000e-12
-0.245787,0.365646,0.000000,-7.978027,-5.172966,0.000000,1.000000e-12
-0.245173,0.366409,0.000000,-7.986181,-5.154608,0.000000,1.000000e-12
-0.244557,0.367170,0.000000,-7.994270,-5.136283,0.000000,1.000000e-12
-0.243940,0.367930,0.000000,-8.002314,-5.117933,0.000000,1.000000e-12
-0.243323,0.368688,0.000000,-8.010300,-5.099615,0.000000,1.000000e-12
-0.242705,0.369445,0.000000,-8.018218,-5.081320,0.000000,1.000000e-12
-0.242086,0.370199,0.000000,-8.026087,-5.063052,0.000000,1.000000e-12
-0.241467,0.370951,0.000000,-8.033890,-5.044814,0.000000,1.000000e-12
-0.240847,0.371701,0.000000,-8.041646,-5.026579,0.000000,1.000000e-12
-0.240225,0.372451,0.000000,-8.049345,-5.008344,0.000000,1.000000e-12
-0.239604,0.373197,0.000000,-8.056982,-4.990166,0.000000,1.000000e-12
-0.238982,0.373942,0.000000,-8.064559,-4.972001,0.000000,1.000000e-12
-0.238358,0.374686,0.000000,-8.072084,-4.953837,0.000000,1.000000e-12
-0.237734,0.375428,0.000000,-8.079560,-4.935694,0.000000,1.000000e-12
-0.237110,0.376168,0.000000,-8.086981,-4.917569,0.000000,1.000000e-12
